	country	designation		points	price	province	variety		winery	
52	France	Les 7 Hommes	90	42	Loire Valley	Sauvignon Blanc	Cherrier Frères	
53	France	L'Inédit	90	28	Loire Valley	Pinot Noir	Clement et Florian Berthier	
54	US		90	18	California	Chardonnay	De Loach	
55	US	Four Flags	90	69	Washington	Cabernet Sauvignon	DeLille	
56	France	Le Pavé	90		Loire Valley	Sauvignon Blanc	Domaine Vacheron	
57	US	Reserve	90	25	New York	Riesling	Dr. Konstantin Frank	
58	US	Final Final	90	30	Washington	Cabernet Sauvignon-Syrah	Efeste	
59	Italy	Poggio Bestiale	90	60	Tuscany	Red Blend	Fattoria di Magliano	
60	Argentina	The Apple Doesn't Fall Far From The Tree	91	30	Mendoza Province	Malbec	Matias Riccitelli	
61	Australia		91	36	Victoria	Pinot Noir	Moorooduc	
62	Argentina	Alegoría Gran Reserva	91	25	Mendoza Province	Malbec	Navarro Correas	
63	France	L'Homme Mort Premier Cru	91	45	Burgundy	Chardonnay	Domaine Chenevières	
64	Portugal		91	23	Alentejano	Portuguese Red	Herdade do Rocim	
65	US	Estate Select	91	36	California	Syrah	Jason-Stephens	
66	France	Fourchaume Premier Cru	91	38	Burgundy	Chardonnay	Louis Max	
67	US	Animo	91	85	California	Cabernet Sauvignon	Michael Mondavi Family Estate	
68	US	Schindler Vineyard	91	50	Oregon	Pinot Noir	Panther Creek	
69	US	Barrel Select	91	60	California	Cabernet Sauvignon	Provenance Vineyards	
70	US	District Collection	91	85	California	Cabernet Sauvignon	Raymond	
71	US		91	45	California	Pinot Noir	Red Car	
72	Italy	Bussia Riserva	91		Piedmont	Nebbiolo	Silvano Bolmida	
73	US		91	19	Oregon	Pinot Gris	Trinity Vineyards	
74	Portugal	Premium	91	15	Alentejo	Portuguese Red	Adega Cooperativa de Borba	
75	US	Premier Cuvée	91	54	Oregon	Pinot Noir	Archery Summit	
76	France	Le Nombre d'Or Brut Nature	91	85	Champagne	Chardonnay	Aubry	
77	US	Juliana Vineyard	91	38	California	Sauvignon Blanc	B Cellars	
78	US		91	28	California	Cabernet Sauvignon	B Side	
79	Italy	Boscato	91	75	Piedmont	Nebbiolo	Bel Colle	
80	US	Aeolian	91	42	Oregon	Pinot Noir	Bethel Heights	
81	Israel	Reserve	91	25	Upper Galilee	Cabernet Sauvignon	Binyamina	
82	Italy	Palliano Riserva	91		Piedmont	Nebbiolo	Ceste	
83	Italy	del Comune di Serralunga d'Alba	91	59	Piedmont	Nebbiolo	Cascina Cucco	
84	Italy	Bricco Luciani	91	85	Piedmont	Nebbiolo	Cascina del Monastero	
85	Italy	Bricco Gattera	91	80	Piedmont	Nebbiolo	Cordero di Montezemolo	
86	France	Montmains Premier Cru	91	45	Burgundy	Chardonnay	Domaine Gérard Duplessis	
87	US		91	22	California	Cabernet Sauvignon	Eagle Glen	
88	US	Bacigalupi Vineyard	91	65	California	Pinot Noir	Eleven Eleven	
89	US	Magnificat	91	50	California	Meritage	Franciscan	
90	US		86	10	California	Cabernet Sauvignon	Belle Ambiance	
91	Portugal	Marquês de Marialva Rosé Bruto	86	12	Beira Atlantico	Baga	Adega de Cantanhede	
92	Italy	Nature	86	22	Veneto	Glera	De Stefani	
93	US	Small Lot Blend	86	13	California	Chardonnay	Parducci	
94	Portugal	Muros de Vinha	86	10	Douro	Portuguese Red	Quinta do Portal	
95	France	Château Beauvillain-Monpezat	86	14	Southwest France	Malbec-Merlot	Rigal	
96	US		86	18	California	Chardonnay	The Naked Grape	
97	US		86	36	California	Cabernet Sauvignon	Tin Barn	
98	France	Pigmentum	86	15	Southwest France	Merlot-Malbec	Georges Vigouroux	
99	France	Pigmentum	86	10	Southwest France	Ugni Blanc-Colombard	Georges Vigouroux	
100	US		86	24	California	Viognier	Hawk Watch Winery	
101	US	Stephanie	86	50	California	Cabernet Sauvignon	Hestan	
102	Italy		86	45	Tuscany	Sangiovese	Il Grappolo	
103	US	Bella's Blend	86	48	California	Cabernet Sauvignon-Cabernet Franc	Ehret	
104	US	Tears of Dew Late Harvest	86	20	California	Moscato	EOS	
105	US	Tudor Hills Vineyard	86	17	Washington	Pinot Grigio	Martinez & Martinez	
106	US		86	12	California	Cabernet Franc	Ironstone	
107	US		86	10	California	Chardonnay	Leaping Horse	
108	US		86	13	California	White Blend	Kitchen Sink	
109	US	Homestead Block	86	45	California	Chardonnay	Kuleto Estate	
110	Portugal	Companhia das Lezírias Herdade de Catapereiro Single Vineyard	86	12	Tejo	Portuguese Red	Wines & Winemakers	
111	Argentina	Terroir Único Pinot Noir	86	12	Mendoza Province	Rosé	Zorzal	
112	US	Limited Release Cold Springs Vineyard	86	125	California	Cabernet Sauvignon	Charles Krug	
113	US	Castle Hill Vineyard	86	25	New York	Riesling	Millbrook	
114	South Africa	Circumstance	86	20	Stellenbosch	Sauvignon Blanc	Waterkloof	
115	Argentina	Reserva	86	15	Mendoza Province	Malbec	Viñalba	
116	Spain	Dulce Tinto	86		Levante	Monastrell	Casa de la Ermita	
117	France		86	20	Southwest France	Rosé	Château Clément Termes	
118	France	Il est des nôôôtres!	86	15	Southwest France	Gamay	Château Coutinel	
119	Portugal	Convento da Vila	86	7	Alentejano	Portuguese Red	Adega Cooperativa de Borba	
120	US	The Flyer	91	59	California	Pinot Noir	MacPhail	
121	US	Charles Vineyard Clone 05	91	49	California	Pinot Noir	Foursight	
122	US	Solomon Hills Vineyard Rosé	91	42	California	Sparkling Blend	Goat Bubbles	
123	US	Paris Tasting Commemorative	91	93	California	Chardonnay	Grgich Hills	
124	US	Methode a l'Ancienne	91	32	California	Pinot Noir	Navarro	
125	US		91	20	California	Pinot Noir	Navarro	
126	US	Grand Wren	90	100	California	Zinfandel	Renwood	
127	US	Central Park West Vineyard	90	50	California	Cabernet Sauvignon	Trinchero	
128	Spain	Arnegui Reserva	90	22	Northern Spain	Tempranillo	Pagos del Rey	
129	Italy	Chianta Bianco	90	45	Sicily & Sardinia	White Blend	Biondi	
130	Italy		90	18	Southern Italy	Greco	Cantine di Marzo	
131	US		90	45	California	Chardonnay	Alexander-Smith	
132	US	Cooper Ranch	90	26	California	Barbera	Andis	
133	US		90	16	California	Chardonnay	Benziger	
134	US	Longwood	90	30	California	Cabernet Sauvignon	Beaucanon	
135	US	Estate	90	42	California	Grenache	Brecon Estate	
136	US	Mustang Springs	90	38	California	Zinfandel	Peachy Canyon	
137	US	SMC	90	48	California	Rhône-style Red Blend	Three	
138	Spain	Crianza	90	17	Northern Spain	Tempranillo	Valdelacierva	
139	France	Le	90	18	Languedoc-Roussillon	Rosé	Château de Lancyre	
140	France		90	15	Bordeaux	Rosé	Château Suau	
141	US	Rte Blanc	90	28	California	Sauvignon Blanc	Clif Family	
142	US	Hook Vineyard	90	25	California	Grenache	Santa Cruz Mountain Vineyard	
143	US		90	26	Oregon	Chardonnay	Schmidt	
144	US	Jespersen Ranch	90	24	California	Albariño	Stephen Ross	
145	US		90	55	California	Pinot Noir	Goldeneye	
146	US	Estate Grown	90	36	California	Zinfandel	Grgich Hills	
147	Spain		90	17	Galicia	Albariño	Mar de Viñas	
148	US		90	40	California	Syrah	Kessler-Haak	
149	US		90	28	California	Malvasia Bianca	Larner	
150	US		89	50	Oregon	Pinot Noir	Bomb	
151	Greece	Kapnias	89	24	Atalanti Valley	White Blend	Hatzimichalis	
152	Spain	Brut Reserva	89	17	Catalonia	Sparkling Blend	Bohigas	
153	Greece		89	21	Santorini	Assyrtiko	Boutari	
154	Greece	Axia Malagouzia	89	18	Florina	Malagouzia	Alpha Estate	
155	Chile	Ecos de Rulo Single Vineyard El Chequén Estate	89	20	Marchigue	Carmenère	Viña Bisquertt	
156	France		89	20	Southwest France	Bordeaux-style Red Blend	Chateau Quattre	
157	US		89	24	Oregon	Sangiovese	Ledger David	
158	Spain	Viña Real Gran Reserva	89	44	Northern Spain	Tempranillo	CVNE	
159	Chile	Fina Reserva Ensamblaje Malbec-Cabernet Sauvignon-Syrah	89	19	Colchagua Valley	Red Blend	Estampa	
160	US	Range 30 West	89	42	California	Bordeaux-style Red Blend	Foxen 7200	
161	US		89	35	Oregon	Pinot Noir	Irvine Family Vineyards	
162	Spain	Gaudium	89	44	Northern Spain	Tempranillo Blend	Marqués de Cáceres	
163	US		89	16	California	Syrah	Matchbook	
164	US	Mill Road Vineyard	89	23	California	Viognier	Eberle	
165	US	Freedom Hill Vineyard	89	36	Oregon	Pinot Noir	Silvan Ridge	
166	Italy	Le Redini	89	25	Tuscany	Red Blend	Tenuta degli Dei	
167	Italy	Il Guardiano	89	22	Tuscany	Red Blend	Poggio Mandorlo	
168	Portugal		89	20	Douro	Touriga Nacional	Quinta das Carvalhas	
169	US	Del Arroyo Vineyard	89	25	California	Chardonnay	Occasio	
170	US		89	42	California	Pinot Noir	Sanford	
171	Chile	Family Collection	89	30	Curicó Valley	Cabernet Sauvignon-Cabernet Franc	Santa Alba	
172	Greece		89	17	Nemea	Agiorgitiko	Boutari	
173	US	Charles Vineyard Clone O5	89	49	California	Pinot Noir	Foursight	
174	France	Héritages Elevé en Foudres de Chêne	89	16	Rhône Valley	Rhône-style Red Blend	Ogier	
175	Spain	Gran Bajoz	89	30	Northern Spain	Tinta de Toro	Pagos del Rey	
176	Italy	Palazzo Altesi	89	40	Tuscany	Sangiovese	Altesino	
177	Italy	Il Borgo	89	57	Tuscany	Red Blend	Cabreo	
178	US	Lot 525	89	29	California	Cabernet Sauvignon	Cameron Hughes	
179	Chile	Perla Negra	89	61	Maule Valley	Red Blend	Casa Donoso	
180	US		88	25	California	Chardonnay	Rodney Strong	
181	US	Estate Reserve	88	25	California	Syrah	San Simeon	
182	US	Sonatera Vineyard	88	49	California	Pinot Noir	Siduri	
183	US	Boushey Vineyard	88	20	Washington	Picpoul	Syncline	
184	Argentina	Trinità Grand Reserve	88	26	Mendoza Province	Bordeaux-style Red Blend	Piattelli	
185	US	Entwined	88	34	Washington	Bordeaux-style Red Blend	Pondera	
186	US	French Camp Vineyard	88	38	California	Zinfandel	Tobin James	
187	US	French Camp Vineyard	88	38	California	Zinfandel	Tobin James	
188	Spain	Sobre Lías	88	25	Northern Spain	Godello	Valdesil	
189	Spain	Negre	87	22	Catalonia	Red Blend	Jaspi	
190	Argentina	Reserve	87	15	Mendoza Province	Malbec	Tupun	
191	France		87	20	Bordeaux	Bordeaux-style Red Blend	Château Beauregard Lagupeau	
192	France		87	25	Bordeaux	Bordeaux-style Red Blend	Château du Taillan	
193	France		87	20	Bordeaux	Bordeaux-style Red Blend	Château la Haye	
194	France		87	20	Bordeaux	Bordeaux-style Red Blend	Château Lalande Mausse	
195	France		87	25	Bordeaux	Bordeaux-style Red Blend	Château Magnol	
196	US		87	10	California	Chardonnay	Grand Pacific	
197	US	Rosé of	87	18	Washington	Malbec	Hamilton	
198	US	Ingle Vineyard Unoaked	87	18	New York	Chardonnay	Heron Hill	
199	US	Semi-Dry	87	14	New York	Riesling	Heron Hill	
200	US	Semi-Dry	87	14	New York	Riesling	Fox Run	
201	US	Ice Wine	87	40	New York	Cabernet Franc	Glenora	
202	France		87	18	Bordeaux	Bordeaux-style Red Blend	Château Roc Taillade	
203	France		87	20	Bordeaux	Bordeaux-style Red Blend	Château Sénéjac	
204	US		87	10	Washington	Gewürztraminer	Chateau Ste. Michelle	
205	US		87	11	Washington	Merlot	Castle Rock	
206	US		87	36	Washington	Cabernet Sauvignon	Dussek Family Cellars	
207	US		87	20	New York	Cabernet Franc	Serenity	
208	US	Weinbau	87	32	Washington	Grenache	Sol Stone	
209	Spain	Yá Cuvée 23 Brut Rosé	87	18	Catalonia	Sparkling Blend	Sumarroca	
210	Portugal	Reserva	93	55	Douro	Portuguese Red	Poças	
211	Italy	Nervo	93	49	Piedmont	Nebbiolo	Rizzi	
212	US	Rocky Ridge Vineyard	93	50	California	Zinfandel	Robert Biale	
213	Italy	Fausoni	93	58	Piedmont	Nebbiolo	Sottimano	
214	France	Rosacker Grand Cru	93	39	Alsace	Riesling	Domaine Jean-Luc Mader	
215	France	Clos Häuserer Wintzenheim	93	65	Alsace	Riesling	Domaine Zind-Humbrecht	
216	Morocco	Domaine Excelcio	93	35	Guerrouane	Syrah-Grenache	Bernard Magrez	
217	Italy		93	80	Piedmont	Nebbiolo	Borgogno	
218	France	Pfingstberg Paradis Grand Cru	93	42	Alsace	Riesling	Domaine François Schmitt	
219	France	Altenberg de Bergheim Grand Cru Vieilles Vignes	93	61	Alsace	Riesling	Gustave Lorentz	
220	US	Collaboration Series VI Ciel du Cheval Vineyard	93	58	Washington	G-S-M	Force Majeure	
221	US	Hastings Ranch Vineyard	93	38	California	Mourvèdre	Anglim	
222	France	Heissenberg	93	48	Alsace	Riesling	Domaine Ostertag	
223	US	Stagecoach Vineyards The Biale Block	93	50	California	Zinfandel	Robert Biale	
224	Italy	Pajorè	93	58	Piedmont	Nebbiolo	Sottimano	
225	France		93	120	Bordeaux	Bordeaux-style White Blend	Château Raymond-Lafon	
226	US	Estate	93	50	California	Syrah	Red Car	
227	US	Collaboration Series V Ciel du Cheval Vineyard	93	80	Washington	Cabernet Sauvignon	Force Majeure	
228	US	White Hawk Vineyard	93	40	California	Syrah	Mulvane Wine Co.	
229	Portugal	Quinta dos Quatro Ventos Reserva	93	41	Douro	Portuguese Red	Caves Aliança	
230	US	Double Canyon Vineyard	93	48	Washington	Cabernet Sauvignon	Double Canyon	
231	US	Red Rock Terrace	93	200	California	Cabernet Sauvignon	Diamond Creek	
232	US	Ciel du Cheval Vineyard	93	39	Washington	Petit Verdot	Côtes de Ciel	
233	US	Kingpin	93	62	Washington	Cabernet Sauvignon	Sparkman	
234	Italy		93	43	Piedmont	Nebbiolo	Punset	
235	France	Domaine Saint-Rémy Schlosberg Grand Cru	92	35	Alsace	Riesling	Domaine Ehrhart	
236	France	Pfersigberg Grand Cru	92	48	Alsace	Riesling	Domaine Zinck	
237	France	Calcaire	92	55	Alsace	Riesling	Domaine Zind-Humbrecht	
238	Portugal	Dona Maria Reserva	92	40	Alentejano	Portuguese Red	Dona Maria-Júlio Bastos	
239	Italy	Coste Rubin	92	69	Piedmont	Nebbiolo	Fontanafredda	
240	France		88	16	Bordeaux	Bordeaux-style Red Blend	Château Chantemerle	
241	France		88	16	Bordeaux	Bordeaux-style White Blend	Château Chaubinet	
242	France		88		Bordeaux	Bordeaux-style White Blend	Château Ferran	
243	France		88	15	Bordeaux	Bordeaux-style Red Blend	Château Fongalan	
244	France		88	13	Bordeaux	Bordeaux-style White Blend	Château Mezain	
245	US		88	28	California	Chardonnay	Clos du Val	
246	US	Estate	88	36	Oregon	Pinot Noir	Coeur de Terre	
247	Romania	La Umbra	88	9	Colinele Dobrogei	Rosé	Cramele Halewood	
248	US	Limited Selection	88	24	California	Chardonnay	Daniel Gehrs	
249	US	Cuvée Luke Saralee's Vineyard	88	30	California	Rhône-style White Blend	Davis Family	
250	US		88	25	California	Merlot	Decoy	
251	Italy		88	34	Piedmont	Nebbiolo	Reversanti	
252	US	Wits' End	88	60	Oregon	Pinot Noir	Roco	
253	US	Toyon Farm	88	54	California	Pinot Noir	Saintsbury	
254	US	Early	88	15	Oregon	Muscat	Silvan Ridge	
255	Italy	Bussia	88	56	Piedmont	Nebbiolo	Silvano Bolmida	
256	US	Estate	88	20	California	Sauvignon Blanc	St. Supéry	
257	US	Guidotti Vineyard	88	61	California	Pinot Noir	Testarossa	
258	Italy		88	46	Piedmont	Nebbiolo	Trediberri	
259	Spain	Prestigio	88	30	Northern Spain	Tempranillo	Val de Los Frailes	
260	Spain	Crianza	88	17	Central Spain	Tempranillo Blend	Yuntero	
261	France	Noctambule	88		Loire Valley	Chenin Blanc-Chardonnay	Musset-Roullier	
262	US	Querida	88	40	California	Cabernet Sauvignon-Merlot	Oso Libre	
263	US	Primoroso	88	39	California	Red Blend	Oso Libre	
264	Italy	del Comune di Serralunga d'Alba	88	49	Piedmont	Nebbiolo	Palladino	
265	France	Domaine de Saint-Pierre	88	23	Loire Valley	Sauvignon Blanc	Pierre Prieur et Fils	
266	US		88	16	California	Pinot Grigio	Bargetto	
267	US	Anna's Estate Vineyard	88	32	California	Mourvèdre	Adelaida	
268	US		88	18	California	Chardonnay	Alma Rosa	
269	Argentina	Single Vineyard Reserva	88	15	Mendoza Province	Cabernet Sauvignon	Lamadrid	
270	France	Pertuisots Premier Cru	92	92	Burgundy	Pinot Noir	Domaine de Bellene	
271	France	Clos du Cailleret Premier Cru	92	94	Burgundy	Chardonnay	Domaine Vincent Girardin	
272	US	Haynes Vineyard	92	58	California	Chardonnay	Failla	
273	US	Suzuri Series Shake Ridge Ranch	92	50	California	Rhône-style Red Blend	Gallica	
274	US	Vintage Brut	92	48	California	Sparkling Blend	J Vineyards & Winery	
275	US		92	32	California	Pinot Noir	Les Voleurs	
276	Italy	Sirmian	92	27	Northeastern Italy	Pinot Bianco	Nals Margreid	
277	Portugal	Portal do Fidalgo	92	35	Vinho Verde	Alvarinho	Provam	
278	Portugal	Mirabilis Grande Reserva	92	95	Douro	Portuguese White	Quinta Nova de Nossa Senhora do Carmo	
279	US	Solomon Hills Vineyard	92	43	California	Pinot Noir	Ryan Cochrane	
280	Italy	Monte Carbonare	92	33	Veneto	Garganega	Suavia	
281	Italy	Quarz	92	60	Northeastern Italy	Sauvignon	Cantina Terlano	
282	France		92		Southwest France	Malbec	Château du Cèdre	
283	France	Réserve	92	30	Bordeaux	Bordeaux-style Red Blend	Château Haut Selve	
284	US	Lampyridae Vineyards	92	100	California	Cabernet Sauvignon	Communication Block	
285	US	Le Mistral Vineyard	92	35	California	Syrah	Baker & Brain	
286	France	Les Charmes Dessus	91	60	Burgundy	Chardonnay	Domaine de Bellene	
287	France	Cuvée Germain	91	16	Southwest France	Bordeaux-style Red Blend	Domaine D'en Ségur	
288	France	Quintessence	91	40	Burgundy	Chardonnay	Domaine Sangouard-Guyot	
289	US	Clay Court	91	60	Oregon	Pinot Noir	Elk Cove	
290	France		91	100	Burgundy	Pinot Noir	Evening Land	
291	Portugal		91	18	Alentejano	Touriga Nacional	Herdade de São Miguel	
292	US		91	16	Oregon	Pinot Gris	Iris Vineyards	
293	US	Kruse Vineyards	91	42	California	Syrah	Jack Creek	
294	France	Cami Salié	91		Southwest France	Gros and Petit Manseng	Lionel Osmin & Cie	
295	US	Rosé of	91	20	California	Pinot Noir	Brick & Mortar	
296	Italy	Prail	91	25	Northeastern Italy	Sauvignon	Colterenzio	
297	Italy	Puiten	91	23	Northeastern Italy	Pinot Grigio	Colterenzio	
298	US	Estate Grown	91	38	California	Pinot Noir	Cuvaison	
299	US	Nova Vineyard	91	32	California	Zinfandel	De Loach	
300	US	The Funk Estate	94	60	Washington	Syrah	Saviah	
301	US	Estate Bottled	94	30	California	Riesling	Smith-Madrone	
302	Italy	Vigneto Monte Sant'Urbano	94	85	Veneto	Red Blend	Speri	
303	US	White	94	30	California	Riesling	Stony Hill	
304	US	Sierra Madre Vineyard	94	65	California	Pinot Noir	Testarossa	
305	New Zealand	Maté's Vineyard	94	57	Kumeu	Chardonnay	Kumeu River	
306	US	Bergström Vineyard	94	90	Oregon	Pinot Noir	Bergström	
307	US	Angel Hawk	94	85	California	Pinot Noir	Black Kite	
308	US	King Ridge Vineyard Hirsch Selection	94	70	California	Pinot Noir	Blue Farm	
309	US	Evenstad Reserve	94	70	Oregon	Pinot Noir	Domaine Serene	
310	US	Bacigalupi Vineyard	94	60	California	Pinot Noir	Gary Farrell	
311	Italy	Contrada Salvarenza Vecchie Vigne	94	38	Veneto	Garganega	Gini	
312	Italy	La Froscà	94	29	Veneto	Garganega	Gini	
313	US	Outer Limits	94	155	California	Cabernet Sauvignon	Parallel	
314	US	Durant Vineyard Bishop Block	94	48	Oregon	Pinot Noir	Patricia Green Cellars	
315	US	Godspeed	94	95	California	Cabernet Sauvignon	Sbragia	
316	US	Tognetti Vineyard Brut	94	80	California	Sparkling Blend	Schramsberg	
317	US	Ribbon Ridge Estate	94	49	Oregon	Pinot Noir	Trisaetum	
318	France	Château Montus	94	35	Southwest France	Tannat-Cabernet	Vignobles Brumont	
319	US	Old Stones	94	50	Washington	Syrah	Waters	
320	France	La Bégude	94	44	Provence	Provence red blend	Domaine de la Bégude	
321	Spain	QP	94	68	Northern Spain	Tempranillo Blend	Bodega Classica	
322	France		94	20	Provence	Rosé	Château Vignelaure	
323	Spain	Prestigio Pago de las Solanas	94		Northern Spain	Red Blend	Matarromera	
324	US	Pellet Vineyard	94	95	California	Cabernet Sauvignon	Pellet Estate	
325	France	La Bégude	94	44	Provence	Provence red blend	Domaine de la Bégude	
326	Argentina	Alta Barrancas Vineyards	94	50	Mendoza Province	Cabernet Sauvignon	Pascual Toso	
327	France	Garrus	94	100	Provence	Rosé	Château d'Esclans	
328	France	Cuvée Marguerite Massaut	94	70	Southwest France	Malbec	Château Lagrézette	
329	US	Aurora Vineyard	94	63	Oregon	Chardonnay	Ponzi	
330	Italy	Monvigliero	91	75	Piedmont	Nebbiolo	Fratelli Alessandria	
331	Germany	Graacher Himmelreich Kabinett	91	23	Mosel	Riesling	Friedrich-Wilhelm-Gymnasium	
332	US	Latro	91	50	California	Cabernet Sauvignon	Galerie	
333	Spain	Etiqueta Ambar	91	22	Galicia	Albariño	Granbazán	
334	US	Grieve Family Vineyard	91	45	California	Sauvignon Blanc	Grieve	
335	Portugal	Grande Rocim Reserva	91	130	Alentejano	Alicante Bouschet	Herdade do Rocim	
336	US	XCV	91	38	California	Rhône-style White Blend	Jada Vineyard & Winery	
337	US		91	30	Oregon	Pinot Noir	La Crema	
338	US	Rosé of	91	22	California	Syrah	Lawer	
339	Italy	Bergera Pezzole	91		Piedmont	Nebbiolo	Le Strette	
340	Italy	Coste di Rose	91	90	Piedmont	Nebbiolo	Marchesi di Barolo	
341	US	Emblem Oso Vineyard	91	60	California	Cabernet Sauvignon	Michael Mondavi Family Estate	
342	Italy	Brunate	91	115	Piedmont	Nebbiolo	Oddero	
343	US	Estate Cuvée	91	55	California	Pinot Noir	Small Vines	
344	Portugal	Telhas	91	30	Alentejano	Rhône-style Red Blend	Terras de Alter	
345	Portugal	Terra d'Alter	91	14	Alentejano	Aragonês	Terras de Alter	
346	US	Lone Oak Vineyard	91	48	California	Chardonnay	Testarossa	
347	US	Starr Ridge Vineyard Estate	91	40	California	Chardonnay	Thomas George	
348	Germany	Saulheimer Probstey Trocken	91	39	Rheinhessen	Silvaner	Thörle	
349	Italy	Paesi Tuoi	91	60	Piedmont	Nebbiolo	Vite Colte	
350	US	Sierra Madre Vineyard	91	50	California	Chardonnay	Wedell Cellars	
351	US	Juliard Vineyard	91	48	Oregon	Pinot Noir	Winderlea	
352	France	Grand Cru Blanc de Blancs Chouilly Brut	91	54	Champagne	Chardonnay	A.R. Lenoble 	
353	Portugal	Garrafeira	91	42	Alentejo	Portuguese Red	Adega Cooperativa de Borba	
354	US	Brut Rosé	91	50	Oregon	Sparkling Blend	Argyle	
355	Israel		91	40	Golan Heights	Cabernet Sauvignon	Bazelet HaGolan	
356	US	Rosella's Vineyard	91	40	California	Chardonnay	Bernardus	
357	US		91	42	Oregon	Pinot Noir	Big Table Farm	
358	Italy	Parej	91	85	Piedmont	Nebbiolo	Icardi	
359	Spain	Crianza	91	32	Northern Spain	Tempranillo	Matarromera	
360	US	Cuore della Vigne	90	41	California	Red Blend	Le Vigne	
361	US	Kiler Grove Vineyard	90	27	California	Ugni Blanc	Paix Sur Terre	
362	US	Winemaker's Reserve	90	29	Oregon	Grüner Veltliner	Reustle	
363	France	Galets Oligocène	90	33	Alsace	Pinot Noir	Domaine Bott-Geyl	
364	France		90	70	Burgundy	Pinot Noir	Domaine Faiveley	
365	US		90	19	Oregon	Pinot Noir	Pike Road	
366	Italy		90	22	Sicily & Sardinia	Frappato	Planeta	
